date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:08	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226801765c-239b%22	https://themewagon.github.io/robots.txt		(from )
14:25:08	67217/67217	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-10691%22	https://themewagon.github.io/kaiadmin-lite/	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/index.html	(from )
14:25:08	4286/4286	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22668a5d5e-10be%22	https://themewagon.github.io/kaiadmin-lite/assets/img/kaiadmin/favicon.ico	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/img/kaiadmin/favicon.ico	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:08	13324/13324	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-340c%22	https://themewagon.github.io/kaiadmin-lite/assets/js/plugin/webfont/webfont.min.js	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/js/plugin/webfont/webfont.min.js	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:09	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-38df4%22	https://themewagon.github.io/kaiadmin-lite/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/css/bootstrap.min.css	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:09	198674/198674	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-30812%22	https://themewagon.github.io/kaiadmin-lite/assets/css/plugins.min.css	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/css/plugins.min.css	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:09	213952/213952	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-343c0%22	https://themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:09	8313/8313	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-2079%22	https://themewagon.github.io/kaiadmin-lite/assets/css/demo.css	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/css/demo.css	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:10	67217/67217	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-10691%22	https://themewagon.github.io/kaiadmin-lite/index.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/index-2.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:10	4872/4872	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22668a5d5e-1308%22	https://themewagon.github.io/kaiadmin-lite/assets/img/kaiadmin/logo_light.svg	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/assets/img/kaiadmin/logo_light.svg	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:10	30087/30087	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-7587%22	https://themewagon.github.io/kaiadmin-lite/components/avatars.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/avatars.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:10	55188/55188	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-d794%22	https://themewagon.github.io/kaiadmin-lite/components/buttons.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/buttons.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:10	49231/49231	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-c04f%22	https://themewagon.github.io/kaiadmin-lite/components/gridsystem.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/gridsystem.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:11	48333/48333	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-bccd%22	https://themewagon.github.io/kaiadmin-lite/components/panels.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/panels.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:11	43523/43523	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-aa03%22	https://themewagon.github.io/kaiadmin-lite/components/notifications.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/notifications.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:11	50860/50860	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-c6ac%22	https://themewagon.github.io/kaiadmin-lite/components/sweetalert.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/sweetalert.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:11	77099/77099	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-12d2b%22	https://themewagon.github.io/kaiadmin-lite/components/font-awesome-icons.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/font-awesome-icons.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:12	44141/44141	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-ac6d%22	https://themewagon.github.io/kaiadmin-lite/components/simple-line-icons.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/simple-line-icons.html	(from https://themewagon.github.io/kaiadmin-lite/)
14:25:12	46496/46496	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-b5a0%22	https://themewagon.github.io/kaiadmin-lite/components/typography.html	C:/My%20Web%20Sites/admin/themewagon.github.io/kaiadmin-lite/components/typography.html	(from https://themewagon.github.io/kaiadmin-lite/)
